Label,Message
0,understand loss gain work school
0,dunno lei decide lor abt leona oops tot ben going msg
0,fps
0,mum ive sent many many messages since got want know actually getting enjoy rest day
0,long time remember today
0,go ok na
0,haha awesome ive 4u couple times alls coming
0,shower baby
0,hi shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem
0,cant get da laptop matric card wif lei
0,ok come ur home half hour
0,im freezing craving ice fml
0,good day
0,got job wiproyou get every thing life years
0,oktake careumma
0,lol im hot air balloon
0,mm time dont like fun
1,ur going bahamas callfreefone 08081560665 speak live operator claim either bahamas cruise of£2000 cash 18only opt txt 07786200117
0,ard 515 like dat
1,hmv bonus special 500 pounds genuine hmv vouchers answer easy questions play send hmv 86688 infowww100percentrealcom
0,okay well thanks clarification
0,phone
0,wait ltgt min
0,strange watching 2nd one im bed sweet dreams miss
0,cant wait cornwall hope tonight isnt bad well its rock night shite anyway im going kip good night speak soon
0,ok give minutes think see btw youre alibi cutting hair whole time
0,en chikku nange bakra msg kalstiyathen teacoffee
0,yet hadya sapna aunty manege yday hogidhechinnu full weak swalpa black agidhane
0,jade paul didnt txt remember barmed want talk txt
0,angry happen dear
0,santha num corrct dane
0,oh come tomorrow
0,ok enjoy home
0,want grasp pretty booty
0,haha got fast lose weight thk muz go month den got effect geelater go aust put bk weight
0,cold dont sad dear
0,wishing wonderful week
1,tried contact response offer new nokia fone camcorder hit reply call 08000930705 delivery
0,hii got money da
0,howz persons story
0,cant believe said many things morning really wanted say good morning love beautiful morning see library later
0,im guy browsin compulsory
0,train back northampton im afraid im staying skyving today ho ho around wednesday though fancy comedy club week way
0,auntie huai juan never pick phone
0,ok da already planned wil pick
1,win newest harry potter order phoenix book reply harry answer questions chance first among readers
1,married local women looking discreet action real matches instantly phone text match 69969 msg cost 150p stop txt stop bcmsfwc1n3xx
0,meh thgt clash really ah dun mind dun seen lost weight gee
0,hmmm thought said hours slave late punish
0,alreadysabarish asked go
0,wat tht incident
0,congratulations ore mo owo wa enjoy wish many happy moments fro wherever go
0,know watchin lido
1,urgent trying contact todays draw shows £800 prize guaranteed call 09050003091 land line claim c52 valid 12hrs
1,twinks bears scallies skins jocks calling dont miss weekends fun call 08712466669 10pmin stop texts call 08712460324nat rate
0,hi kate lovely see tonight ill phone tomorrow got sing guy gave card xxx
0,watching telugu moviewat abt
1,urgent trying contact last weekends draw shows £900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
0,pleased inform application airtel broadband processed successfully installation happen within days
0,hello hello hi lou sorry took long reply left mobile friends lancaster got bak neway im sorry couldnt make ur bday hun
0,friend got says hes upping order grams hes got ltgt get
1,win £200 shopping spree every week starting play text store 88039 skilgme tscs08714740323 1winawk age16 £150perweeksub
1,talk sexy make new friends fall love worlds discreet text dating service text vip 83110 see could meet
0,god picked flower dippeditinadew lovingly touched itwhichturnedinto gifted tomeandsaidthis friend 4u
0,hows queen going royal wedding
0,take like noon
0,hey mate spoke mag people we‘re deliver end month deliver 24th sept talk later
0,campus library
1,message brought gmw ltd connected
0,ill talk others probably come early tomorrow
0,lol know hey someone great inpersonation flea forums love
0,hey company elama po mudyadhu
0,one joys lifeis waking daywith thoughts somewheresomeone cares enough tosend warm morning greeting
0,buzzzz grins buzz ass buzz chest buzz cock keep phone vibrator feel shake
0,dunno close oredi fan
0,think one saying clearly ok leave need ask go come
0,lunch alone bored
0,also da feel yesterday night wait til 2day night dear
0,day working dayexcept saturday sunday
0,carlos pick ill swing usf little bit
0,lol dont know awesome phone could click delete right want
0,okay shining meant signing sounds better
0,lunchyou onlinewhy
0,battery low babe
0,wats da model num ur phone
0,cme want go hos 2morow wil cme got dear didnt say time
0,yes many sweets
0,half years missed friendship
0,evry emotion dsnt hav wordsevry wish dsnt hav prayrs smiled world wit uothrwise even drop tear dsnt lik stay wit uso happy good morning keep smiling
0,best line said love wait till day forget day realize cannot forget gn
0,see posted facebook
0,hi dude hw da realy mising today
1,mobile club choose top quality items mobile 7cfca1a
0,go jurong point crazy available bugis great world la buffet cine got amore wat
1,2nd time tried contact 750 pound prize claim easy call 08718726970 10p per min btnationalrate
0,aaooooright work
0,tonight mate catching sleep new number way
0,sure dont mean get made hold weed
0,juz go google search qet
1,dorothykiefercom bank granite issues strongbuy explosive pick members 300 nasdaq symbol cdgt 500 per
0,ditto wont worry saying anything anymore like said last night whatever want ill peace
0,anything lor juz us lor
0,oh getting even
0,alright new goal
1,good luck draw takes place 28th feb 06 good luck removal send stop 87239 customer services 08708034412
0,im sorry bout last nite wasnt ur fault spouse pmt sumthin 4give think shldxxxx
0,promise take good care princess run please send pics get chance ttyl
0,somebody go andros steal ice
0,got smaller capacity one quite ex
0,nah im perpetual dd
0,ill little closer like bus stop street
0,put party days week study lightly think need draw custom checkboxes know hardcore
1,hack chat get backdoor entry 121 chat rooms fraction cost reply neo69 call 09050280520 subscribe 25p pm dps bcm box 8027 ldn wc1n3xx
0,computer fried essential part dont keep spares fucking idiot roommates looovvve leaving thing running full ltgt
0,jus reached home go bathe first sis using net tell finishes
0,think tantrums finished yeah ill point
0,hes apparently bffs carly quick
0,ya ok dinner
0,thanks da thangam feel happy dear also miss da
0,im diet ate many slices pizza yesterday ugh im always diet
0,alright im outhave good night
0,didnt get ur full msgsometext missing send
0,havent eaten day im sitting staring juicy pizza cant eat meds ruining life
0,okie
0,lol know theyre dramatic schools already closed tomorrow apparently cant drive inch snow supposed get
0,oops sorry check dont mind picking tomo half eight station would ok
1,great new offer double mins double txt best orange tariffs get latest camera phones free call mobileupd8 free 08000839402 2stoptxt tcs
0,wake since checked stuff saw true available spaces pls call embassy send mail
0,hello little party animal thought id buzz friends grins reminding loved send naughty adoring kiss
1,22 days kick euro2004 kept date latest news results daily removed send get txt stop 83222
0,amazing rearrange letters gives meaning dormitory dirty room astronomer moon starer eyes see election results lies lets recount motherinlaw woman hitler eleven plus two twelve plus one amazing
0,yep fine 730 830 ice age
0,food
0,lets use next week princess
1,latest nokia mobile ipod mp3 player £400 proze guaranteed reply win 83355 norcorp ltd£150mtmsgrcvd18
0,omg could snow tonite
0,come back tampa ffffuuuuuuu
1,ur balance £500 ur next question sang uptown girl 80s answer txt ur answer 83600 good luck
1,filthy stories girls waiting
0,keep safe need miss already envy everyone sees real life
0,finished lunch already wake already
0,want see pretty pussy
0,whole car appreciated last two dad map reading semi argument apart things going ok
0,ugh gotta drive back sd la butt sore
0,ki send ltgt min
0,impossible argue always treats like sub like never released remind necessary
0,see film
0,well pay like ltgt yrs difficult
0,jus finished avatar nigro
0,collect ur laptop
0,alright thanks advice enjoy night ima try get sleep
0,ok lar joking wif oni
1,ur chance win £250 cash every wk txt action 80608 tscs wwwmovietriviatv custcare 08712405022 1x150pwk
0,leave de start prepare next
0,sorry ill call later ltgt mins
0,im arestaurant eating squid 1030 wanna dosomething late
0,dint come us
0,alright hooked guys
0,im fine babes aint much tho saw scary movie yest quite funny want 2mrw afternoon town mall sumthinxx
0,im really really broke oh amount small even ltgt
0,think disturbing da
0,wat time wan today
0,got ltgt
0,hey sweet wondering moment might come want send file someone wont go yahoo connection sucks remember set page go download format disc could tell know way download big files download stuff directly internet help would great prey teasing kiss
0,kkim going tirunelvali week see uncle already spend amount taking dress want moneyi give feb
0,youre sure im trying make xavier smoke dont want smoke told smoke much
0,remains bro amongst bros
0,umma say anything
0,ok theory test going book think 21 may coz thought wanna go jiayin isnt free
1,well done england get official poly ringtone colour flag yer mobile text tone flag 84199 optout txt eng stop box39822 w111wx £150
0,im watching lotr sis dis aft wan meet dinner nite
1,subscribed textcomp 250 wkly comp 1st wks free question follows subsequent wks charged150pmsg2 unsubscribe txt stop 84128custcare 08712405020
0,well welp sort semiobscure internet thing
0,make fucks sake
0,whats staff name taking class us
0,waiti come ltgt min
1,hi ya babe 4goten bout scammers getting smartthough regular vodafone respond get prem rate msgsubscription nos used also beware
0,okie scared say fat dun wan already
0,yun buying school got offer 2000 plus
0,way office da
0,tell pa pain de
0,yup thk teacher said make face look longer darren ask cut short
0,callsmessagesmissed calls
0,fuck cedar key fuck come anyway tho
0,posible dnt live ltgt century cm frwd thnk different
0,whats nannys address
0,yesbut said
0,hmmmy uncle informed hes paying school directly pls buy food
0,hey ive booked lessons sun liao
0,nope ill come online
0,hey babe hows going ever figure going new years
0,mum going robinson already
1,1000s flirting txt girl bloke ur name age eg girl zoe 18 8007 join get chatting
0,sent scream moan bed princess
0,love brother time talk english grins say hey muhommad penny says hello across sea
0,doin baby girl hope okay every time call ure phone miss get touch
0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
0,shes fine sends greetings
0,found diff farm shop buy cheese way back call
0,good day toopray meremove teeth painful maintaining stuff
0,todaysundaysunday holidayso work
0,den wat schedule lk sun
0,dunno juz askin cos got card got 20 salon called hair sense tot da one cut ur hair
0,delhi chennai still silent
0,small problem auctionpunj asking tiwary
0,madamregret disturbancemight receive reference check dlf premaricakindly informedrgdsrakheshkerala
0,take ltgt min
0,heart empty without love mind empty without wisdom eyes empty without dreams amp life empty without frnds alwys touch good night amp sweet dreams
0,wait chikkuil send aftr ltgt mins
0,nice new shirts thing wear nudist themed mu
0,thing good thanx got exams march ive done revision fran still boyf ive gotta interviw exeter bit worriedx
0,anything lor coming
0,wat time liao still got
0,wen ur lovable bcums angry wid dnt take seriously coz angry childish true way showing deep affection care luv kettoda manda nice day da
0,nothing lor bit bored dun go home early sleep today
0,give something drink takes doesnt vomit temp might drop unmits however let know
0,sea lays rock rock envelope envelope paper paper words
0,erutupalam thandiyachu
0,ok ill right later
0,ready big day tomorrow
0,well weather calis great complexities great need car move freely taxes outrageous great place sad part missing home
0,dude im longer pisces im aquarius
0,dun wan dun like already ah wat still eating
0,saying order slippers cos pay returning
0,hey glad better hear treated urself digi cam good 9pm fab new year coupla wks
0,wishing beautiful day moment revealing even things keep smiling enjoy
0,responding
0,sorry light turned green meant another friend wanted ltgt worth may around
1,themobhit link get premium pink panther game new sugababes crazy zebra animation badass hoody wallpaperall free
0,call ok said call
0,mine like fr china noisy
0,hi moved in2 pub would great cud come
0,operate ltgt
0,love isnt decision feeling could decide love life would much simpler less magical
0,cab availablethey pick drop door steps
0,call youcarlos isare phones vibrate acting might hear texts
1,hi customer loyalty offerthe new nokia6650 mobile £10 txtauction txt word start 81151 get 4tctxt tc 150pmtmsg
0,dont know im raping dudes poker
0,call get chance plz lt3
0,tap spile seven pub gas st broad st canal ok
0,generally isnt one uncountable noun dictionary pieces research
0,well shes big surprise
0,argh 3g spotty anyway thing remember research province sterling problemfree places looked
1,get phone wanna chat set meet call 09096102316 cum 2moro luv jane xx calls£1minmoremobsemspobox45po139wa
0,two letters copy cos one message speak soon
0,happy saying
0,ok lor anyway thk cant get tickets cos like quite late already wan go look ur frens darren wif
0,hmmbad newshype park plaza 700 studio takenonly left bedrm900
0,ok ill let noe later ask call tmr
1,todays voda numbers ending 5226 selected receive 350 award hava match please call 08712300220 quoting claim code 1131 standard rates app
0,work going min
1,congrats nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobiles 16 close 300603 post bcm4284 ldn wc1n3xx
0,born god said oh another idiot born god said oh competition knew one day two become freinds forever
0,say somebody named tampa
0,god asked forgiveness little child gave lovely reply wonderful fruit tree gives hurt stone good night
0,noe specify da domain nusstu still sch
0,take didnt phone callon friday assume wont year
0,problem
0,hello boytoy geeee im missing today like send tm remind im thinking loved loving kiss
0,japanese proverb one none itu must indian version one let none itleave finally kerala version one stop none make strike
1,hi im sue 20 years old work lapdancer love sex text live im bedroom text sue 89555 textoperator g2 1da 150ppmsg 18
0,think i‘m waiting bus inform get ever get
0,aiyo always ex one dunno abt mei reply first time reply fast lucky workin huh got bao ur sugardad ahgee
0,playng doors game gt racing phone lol
1,dont forget place many free requests 1stchoicecouk wish information call 08707808226
0,got divorce lol shes
0,good time nice something bit different weekends change see ya soon
0,sorry mail
0,sorry de went shop
1,sppok ur mob halloween collection nokia logopic message plus free eerie tone txt card spook 8007
0,yes princess want make happy
0,lol trust
1,ur cashbalance currently 500 pounds maximize ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl
0,pls send company name saibaba colany
0,nice pubs near frankie bennys near warner cinema
